id,name,host_id,host_name,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
47877518,Pink Palms Beach House - Escape to Boomerang Beach,4785649,Sally-Ann,Mid-Coast,-32.34298,152.53848,Entire home/apt,500.0,2.0,14,2023-11-11,0.32,1,200,1,PID-STRA-15899
47889683,Billy's Lower Beach House,237036975,Mick Kim,Nambucca Valley,-30.63655,153.01176,Entire home/apt,171.0,1.0,42,2024-08-03,0.97,1,53,13,PID-STRA-19092-1
47908307,"Apartment 1 Boutique apartment, art decor inspired",386159940,Terry,Port Macquarie-Hastings,-31.45586,152.73459,Private room,199.0,1.0,1,2024-05-05,0.24,7,330,1,Exempt
47910562,Lazy Sunday Crescent Head Golden Triangle Precinct,87446917,Ree,Kempsey,-31.19113,152.97868,Entire home/apt,274.0,2.0,60,2024-08-04,1.39,1,153,29,PID-STRA-20105
47924672,Strand Beachside 1003 - Penthouse,305163448,Forster Holiday Rentals,Mid-Coast,-32.18091813740514,152.51432780582067,Entire home/apt,456.0,1.0,3,2023-11-26,0.16,90,155,1,PID-STRA-10088-1
47947706,Crescent Head Ohana,18120978,Alison,Kempsey,-31.19267,152.97243,Entire home/apt,110.0,1.0,20,2024-08-22,0.46,3,60,16,PID-STRA-14427-1
47960290,The Great Escape,32395002,Andrew,Kempsey,-31.10661,152.62118,Entire home/apt,305.0,2.0,15,2024-04-28,0.47,1,44,3,PID-STRA-12348
48045599,"""Number Ten Tirriki Street""",66855017,MidCoast Holiday Rentals,Mid-Coast,-31.97088,152.59015,Entire home/apt,335.0,1.0,16,2024-05-12,0.52,28,134,4,PID-STRA-14302
48046812,"Paradise house with a pool, deck and amazing view",28078051,Yaron,Bellingen,-30.43985,152.8935,Entire home/apt,480.0,2.0,12,2023-12-15,0.29,2,97,2,PID-STRA-3807
48058595,Pippies on the Beach,387449922,Pip,Mid-Coast,-31.99572,152.57183,Entire home/apt,310.0,4.0,26,2024-01-25,0.62,1,295,3,PID-STRA-4030
48071341,Hidden Gem! 4 Bedroom Modern Waterview House!,382925525,Tom,Mid-Coast,-32.191768646240234,152.511962890625,Entire home/apt,283.0,3.0,53,2024-08-11,1.99,1,165,21,PID-STRA-12430
48109101,"19 Pindari Parade, Port Macquarie",159529466,Elders,Port Macquarie-Hastings,-31.45656,152.92629,Entire home/apt,246.0,2.0,18,2024-06-09,0.47,141,271,1,PID-STRA-10725
48109417,"Unit 306, 37 Pacific Drive, Port Macquarie",159529466,Elders,Port Macquarie-Hastings,-31.44049,152.92513,Entire home/apt,237.0,1.0,11,2024-08-04,0.58,141,298,6,PID-STRA-33364
48109435,Anchorage 31,368080622,Forster Accommodation,Mid-Coast,-32.1734,152.50242,Entire home/apt,189.0,3.0,3,2024-01-28,0.08,155,338,2,PID-STRA-15466-1
48109739,Beachpoint 401,368080622,Forster Accommodation,Mid-Coast,-32.17936,152.51557,Entire home/apt,198.0,3.0,4,2023-12-08,0.12,155,163,1,PID-STRA-15592
48110099,Beachpoint 402,368080622,Forster Accommodation,Mid-Coast,-32.18006,152.51398,Entire home/apt,239.0,3.0,4,2023-08-03,0.12,155,148,0,PID-STRA-15599
48111283,Sandy Beach  House,107480599,Megan,Coffs Harbour,-30.14848,153.19697,Entire home/apt,500.0,1.0,42,2024-05-05,1.29,1,179,19,PID-STRA-23056
48111401,Beachpoint unit 501,368080622,Forster Accommodation,Mid-Coast,-32.17882,152.51408,Entire home/apt,250.0,3.0,10,2023-12-28,0.28,155,192,1,PID-STRA-15602
48123372,Breakers 3,368080622,Forster Accommodation,Mid-Coast,-32.18022,152.51412,Entire home/apt,227.0,3.0,3,2023-04-18,0.15,155,333,0,PID-STRA-15647
48123752,Breakers 11,368080622,Forster Accommodation,Mid-Coast,-32.17915,152.51392,Entire home/apt,233.0,3.0,4,2023-03-05,0.1,155,332,0,PID-STRA-15653
48124085,Dolphin Court 1,368080622,Forster Accommodation,Mid-Coast,-32.17823,152.51517,Entire home/apt,169.0,3.0,9,2023-12-28,0.33,155,330,1,PID-STRA-16427
48124874,SPIRAL VIEWS,76022684,Pamela,Nambucca Valley,-30.74848,152.99765,Entire home/apt,210.0,3.0,4,2023-04-09,0.12,18,336,0,PID-STRA-18658
48125452,Ebbtide Unit 4,368080622,Forster Accommodation,Mid-Coast,-32.17929,152.51306,Entire home/apt,210.0,3.0,10,2023-12-27,0.38,155,205,2,PID-STRA-17298
48125707,Ebbtide unit 7,368080622,Forster Accommodation,Mid-Coast,-32.17776,152.51134,Entire home/apt,198.0,3.0,4,2023-10-08,0.11,155,224,1,PID-STRA-17359
48125877,Ebbtide unit 17,368080622,Forster Accommodation,Mid-Coast,-32.17828,152.51151,Entire home/apt,250.0,3.0,6,2023-06-25,0.16,155,165,0,PID-STRA-17380
48126674,Whitesands 602,368080622,Forster Accommodation,Mid-Coast,-32.17993,152.51488,Entire home/apt,233.0,3.0,5,2024-08-20,0.17,155,166,4,PID-STRA-19113
48136936,Whitesands 402,368080622,Forster Accommodation,Mid-Coast,-32.17816,152.51532,Entire home/apt,262.0,3.0,4,2024-04-01,0.1,155,193,1,PID-STRA-19108
48137796,Whitesands 103,368080622,Forster Accommodation,Mid-Coast,-32.17969,152.51398,Entire home/apt,280.0,3.0,6,2024-04-28,0.14,155,210,2,PID-STRA-19100
48138003,Wharf Street Vista,368080622,Forster Accommodation,Mid-Coast,-32.1814,152.5115,Entire home/apt,238.0,3.0,18,2024-04-19,0.45,155,312,2,PID-STRA-19097
48138102,Sun-Daze @Smithies,27077736,Pacific Palms,Mid-Coast,-32.3789616,152.5064752,Entire home/apt,374.0,2.0,10,2023-03-19,0.29,119,308,0,PID-STRA-12415
48138331,The Marina Unit 310,368080622,Forster Accommodation,Mid-Coast,-32.18048,152.51243,Entire home/apt,210.0,3.0,3,2022-07-08,0.07,155,335,0,PID-STRA-19058
48150220,"'Citadel' studio, views, clean, cosy, and quiet.",100306607,Andrew,Port Macquarie-Hastings,-31.43154,152.89827,Entire home/apt,124.0,1.0,193,2024-08-29,4.7,1,7,34,PID-STRA-9139
48151015,Homestead Retreat Bush & Beach - 'Woodbine',56938276,Jackson,Mid-Coast,-32.06448,152.51939,Entire home/apt,390.0,3.0,9,2024-04-26,0.22,2,93,1,PID-STRA-9931
48161805,Hi Surf unit 2,368080622,Forster Accommodation,Mid-Coast,-32.18007,152.52326,Entire home/apt,210.0,3.0,3,2022-12-01,0.12,155,324,0,PID-STRA-18277
48163214,Kies at Emerald,306145,Joan,Coffs Harbour,-30.163,153.18339,Entire home/apt,450.0,3.0,15,2024-08-04,0.46,2,217,4,PID-STRA-7128
48163571,Forster- Beachfront Views & Pool -Jewel of the Sea,388495492,Sandra,Mid-Coast,-32.19803,152.54112,Entire home/apt,579.0,2.0,61,2024-06-02,1.45,1,298,16,PID-STRA-4788
48163809,Hi Surf 4,368080622,Forster Accommodation,Mid-Coast,-32.18007,152.523,Entire home/apt,250.0,3.0,4,2024-07-29,0.31,155,272,3,PID-STRA-18298
48172950,"The Waukivory School House, ""a walk back in time""",388615146,Katherine,Mid-Coast,-32.10504,152.04909,Entire home/apt,300.0,2.0,20,2024-01-02,0.48,1,170,1,Exempt
48185725,Sea Side on Russell,221075043,Tea Gardens Real Estate,Mid-Coast,-32.67486043634963,152.18266626722772,Entire home/apt,158.0,1.0,4,2022-04-15,0.1,107,341,0,PID-STRA-60371
48199226,Valla Beach Beach Retreat -unwind & enjoy the view,17219450,Danny,Nambucca Valley,-30.59069,153.00385,Entire home/apt,115.0,2.0,7,2024-08-22,0.18,1,8,3,PID-STRA-60122
48201932,"Number One - tranquility, views, walk to beach",43662800,Susan,Port Macquarie-Hastings,-31.64194,152.83467,Entire home/apt,252.0,1.0,12,2024-03-21,0.28,52,213,3,PID-STRA-13396
48215812,Beach Haven,24712167,Mel,Coffs Harbour,-30.36114,153.10246,Entire home/apt,150.0,3.0,117,2024-08-14,2.76,1,65,33,PID-STRA-6284
48217189,Belvedere The Sanctuary,97309690,Holiday Coffs Coast,Coffs Harbour,-30.25655,153.1115,Private room,174.0,2.0,16,2024-04-29,0.48,79,342,3,PID-STRA-28165
48217190,Belvedere,97309690,Holiday Coffs Coast,Coffs Harbour,-30.255936546647305,153.11155987037205,Private room,282.0,2.0,1,2023-04-10,0.06,79,362,0,PID-STRA-28165
48231848,124 Boomerang Drive,27077736,Pacific Palms,Mid-Coast,-32.3440676,152.5401859,Entire home/apt,599.0,2.0,25,2024-07-07,0.6,119,292,4,PID-STRA-12401
